GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps.release,RebuildReleaseReactor,18,60,1,3,5,18,3,4,2,3
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps.release,DoPostReleaseFailure,3,8,0,0,1,3,1,3,1,3
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps.release,AbstractSmartReactorReleaseStep,28,90,2,6,6,27,2,7,0,5
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps.release,TransformProjectsIntoReleases,0,79,0,8,0,25,0,9,0,5
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps.release,DoPostReleaseSuccess,3,8,0,0,1,3,1,3,1,3
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.exceptions,SmartReactorReleaseException,13,5,2,0,3,2,2,1,1,1
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.exceptions,SmartReactorSanityCheckException,0,8,0,0,0,2,0,1,0,1
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps,ValidateSmartReactorEligibility,0,132,0,14,0,27,0,9,0,2
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps,PerformSmartReactorSanityChecks,0,31,0,6,0,8,0,5,0,2
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps,RebuildProjectDependencyGraph,11,12,0,0,3,5,0,2,0,2
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps,AbstractSmartReactorStep,0,3,0,0,0,1,0,1,0,1
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.steps,BuildSmartReactor,0,22,0,4,0,7,0,4,0,2
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr,RTR,17,105,1,9,1,28,1,12,0,8
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr,RTRComponents,0,12,0,0,0,5,0,2,0,2
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr,RTRConfig,20,136,5,5,5,34,5,16,1,15
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.releasephases,RemoveBackupPomsPhase,6,30,0,4,1,8,1,4,1,2
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.releasephases,DefensiveRestoreBackupPomsPhase,6,23,0,2,1,6,1,3,1,2
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.releasephases,ConditionalCheckDependencySnapshotsPhase,6,27,0,2,1,8,1,3,1,2
Smart Reactor Maven Extension,info.ronjenkins.maven.rtr.releasephases,IndicatePresenceOfBackupPomsPhase,6,16,0,0,1,5,1,2,1,2
